,NAME,ONLINE_ORDER,BOOK_TABLE,RATE,DISH_LIKED,APPROX_COST(FOR TWO PEOPLE)
7636,King Of Spices,Yes,No,3.7/5,"Waffles, Chocolate Bomb, Brownie Delight",500
7637,The Delhiwala's Kitchen-Pure Veg,Yes,No,NEW,"Waffles, Chocolate Bomb, Brownie Delight",200
7638,Basmati's Briyani Nation,Yes,No,NEW,"Waffles, Chocolate Bomb, Brownie Delight",350
7639,Wangs Kitchen,Yes,No,3.0/5,"Noodles, Spring Roll, Kung Pao Chicken, Lamb, Sweet Corn Soup, Fish, Manchow Soup",1000
7640,Sri Jayadurga Biryani,Yes,No,3.7/5,"Noodles, Spring Roll, Kung Pao Chicken, Lamb, Sweet Corn Soup, Fish, Manchow Soup",300
7641,Brooks 37,Yes,Yes,4.1/5,"Pizza, Long Island Iced Tea, Jalapeno Cheeseballs, Lamb, Cocktails, Pandi Fry, Galauti Kebab",1000
7643,Meena's Kitchen,Yes,No,3.5/5,"Pizza, Long Island Iced Tea, Jalapeno Cheeseballs, Lamb, Cocktails, Pandi Fry, Galauti Kebab",400
7644,The Deli - The Den Bengaluru,Yes,No,3.7/5,"Pizza, Long Island Iced Tea, Jalapeno Cheeseballs, Lamb, Cocktails, Pandi Fry, Galauti Kebab",600
7647,The North and South Restaurant,Yes,No,3.2/5,"Pizza, Long Island Iced Tea, Jalapeno Cheeseballs, Lamb, Cocktails, Pandi Fry, Galauti Kebab",400
7648,Biryani@Bangalore,No,No,2.9/5,"Pizza, Long Island Iced Tea, Jalapeno Cheeseballs, Lamb, Cocktails, Pandi Fry, Galauti Kebab",300
7650,Chefie,Yes,No,NEW,"Pizza, Long Island Iced Tea, Jalapeno Cheeseballs, Lamb, Cocktails, Pandi Fry, Galauti Kebab",200
7651,Biryani Pot,No,No,3.2/5,"Pizza, Long Island Iced Tea, Jalapeno Cheeseballs, Lamb, Cocktails, Pandi Fry, Galauti Kebab",500
7652,Late Night,No,No,3.0/5,"Pizza, Long Island Iced Tea, Jalapeno Cheeseballs, Lamb, Cocktails, Pandi Fry, Galauti Kebab",500
7653,Owl's Kitchen,No,No,2.7/5,"Gulab Jamun, Noodles, Chicken Rara, Butter Naan",500
7654,Utopia,No,No,2.8/5,"Gulab Jamun, Noodles, Chicken Rara, Butter Naan",550
7657,Tasty Homely Food,Yes,No,NEW,"Gulab Jamun, Noodles, Chicken Rara, Butter Naan",350
7659,Paratha Mania,Yes,No,NEW,"Gulab Jamun, Noodles, Chicken Rara, Butter Naan",200
7660,Sardar Tikka Singh,Yes,No,NEW,"Gulab Jamun, Noodles, Chicken Rara, Butter Naan",500
7661,House Of Combos,Yes,No,NEW,"Gulab Jamun, Noodles, Chicken Rara, Butter Naan",600
7663,Wok Steam & Grills,Yes,No,3.7/5,"Momos, Noodles, Schezwan Rice",400
7664,Nitehunger,Yes,No,2.6/5,"Momos, Noodles, Schezwan Rice",500
7666,Happy Endings,Yes,No,4.1/5,"Brownie, Blueberry Cheesecake, Chocolate Truffle, Blueberry Shake, Tiramisu, German Chocolate, Thick Shakes",300
7669,Andhra Ghumaghumalu,Yes,No,NEW,"Brownie, Blueberry Cheesecake, Chocolate Truffle, Blueberry Shake, Tiramisu, German Chocolate, Thick Shakes",300
7674,Lassi Corner,Yes,No,3.6/5,"Brownie, Blueberry Cheesecake, Chocolate Truffle, Blueberry Shake, Tiramisu, German Chocolate, Thick Shakes",150
7676,Chef Baker's,Yes,No,4.0/5,"Burgers, Salads, Pizza, Sandwiches, Pesto Pasta, Pasta Alfredo, Chocolate Brownie Bowl",450
