,NAME,ONLINE_ORDER,BOOK_TABLE,RATE,DISH_LIKED,APPROX_COST(FOR TWO PEOPLE)
16035,Idli & Dosa Cafe,No,No,2.6/5,"Coffee, Vada, Rava Masala Dosa, Upma",200
16037,Shawarma Hunt,No,No,3.4/5,"Coffee, Vada, Rava Masala Dosa, Upma",300
16038,Spice of India & Chai Tales,No,No,NEW,"Coffee, Vada, Rava Masala Dosa, Upma",400
16040,Ur Cutlet Factory,No,No,3.1/5,"Coffee, Vada, Rava Masala Dosa, Upma",200
16045,Paanwadi,No,No,3.3/5,"Coffee, Vada, Rava Masala Dosa, Upma",100
16046,Donne Biryani House,No,No,3.2/5,"Coffee, Vada, Rava Masala Dosa, Upma",250
16047,Sree Abhiruchi,No,No,2.6/5,"Coffee, Vada, Rava Masala Dosa, Upma",600
16051,Hyderabad Biryaani House,No,No,3.7/5,"Coffee, Vada, Rava Masala Dosa, Upma",400
16058,Kolkata Roll & Fast Food,No,No,3.6/5,"Coffee, Vada, Rava Masala Dosa, Upma",250
16059,56 Bhoga Sweets,No,No,3.6/5,"Dahi Vada, Rasgulla, Samosa",150
16062,Murli,No,No,3.7/5,"Dahi Vada, Rasgulla, Samosa",500
16063,Urvashi,Yes,No,NEW,"Dahi Vada, Rasgulla, Samosa",600
16064,Kolkata Rolls & Fast Food,Yes,No,3.5/5,"Dahi Vada, Rasgulla, Samosa",200
16065,Hunger Meals,No,No,3.9/5,"Andhra Thali, Rice, Mango Dal, Salad, Chicken Meal, Aloo Matar, Chicken Curry",400
16066,Rara Avis,No,No,3.7/5,"Andhra Thali, Rice, Mango Dal, Salad, Chicken Meal, Aloo Matar, Chicken Curry",400
16068,Cutlet Shop,No,No,3.2/5,"Andhra Thali, Rice, Mango Dal, Salad, Chicken Meal, Aloo Matar, Chicken Curry",200
16070,Spice of Andhra,No,No,3.7/5,Chicken Biryani,500
16074,The Baker's,No,No,2.4/5,Chicken Biryani,500
16076,Thalassery Mess,No,No,3.3/5,Chicken Biryani,300
16077,Carnival Cakes & Breads,No,No,3.5/5,Chicken Biryani,200
16078,Ithaa's Biriyani,No,No,3.4/5,Chicken Biryani,500
16079,ChopServe,No,No,3.5/5,Chicken Biryani,300
16080,Cheesecake Alley,No,No,3.1/5,Chicken Biryani,400
16081,Sandwich Truffles,No,No,3.3/5,Chicken Biryani,400
16084,Bombay Kulfis,No,No,3.8/5,Chicken Biryani,200
16085,Laziz Pizza,Yes,No,NEW,Chicken Biryani,400
16086,Muziris,No,No,3.6/5,Chicken Biryani,250
16088,7 Degrees North,No,No,3.5/5,Chicken Biryani,500
16090,The Thali Company,No,No,3.3/5,Chicken Biryani,600
16091,Saahib,No,No,3.9/5,"Mango Kulfi, Kulcha, Chole, Rice, Tandoori Chicken, Shahi Tukda, Paneer Wrap",300
16092,Andhra Vantillu,No,No,3.3/5,"Mango Kulfi, Kulcha, Chole, Rice, Tandoori Chicken, Shahi Tukda, Paneer Wrap",350
16093,Ammi's Biryani,No,No,2.8/5,"Biryani, Rice",500
16098,Rolex Food Palace Restaurant,No,No,3.4/5,"Biryani, Rice",850
16101,Ande Ka Funda,No,No,3.3/5,"Biryani, Rice",200
16102,World Of Kebabs,No,No,3.4/5,"Biryani, Rice",600
16103,Purani Dilli,No,No,3.2/5,"Biryani, Rice",300
16104,The Bigman's Cafe,No,No,3.7/5,"Biryani, Rice",450
16105,Om Nom Thai,No,No,3.9/5,Pad Thai Noodle,400
16106,The Breakfeast,No,No,3.4/5,Pad Thai Noodle,200
16107,Kaati Roll Delights,No,No,3.3/5,Pad Thai Noodle,150
16109,SaJuSo,No,No,3.8/5,Pad Thai Noodle,200
16123,Warm Oven,Yes,No,4.0/5,"Chocolate Cake, Chocochip Cake, Cup Cake, Chocolate Truffle",500
16126,Amma's Cafe,No,No,3.2/5,"Chocolate Cake, Chocochip Cake, Cup Cake, Chocolate Truffle",300
16128,The Little Chef,No,No,3.5/5,"Biryani, Dal Makhani, Honey Chilli Potatoes, Noodles, Butter Naan, Veg Thali",600
16129,Ambur Biryani,No,No,3.2/5,"Biryani, Dal Makhani, Honey Chilli Potatoes, Noodles, Butter Naan, Veg Thali",450
16130,Foxtail Rodeo,No,No,3.5/5,"Biryani, Dal Makhani, Honey Chilli Potatoes, Noodles, Butter Naan, Veg Thali",300
16133,Enroute,No,No,3.1/5,"Biryani, Dal Makhani, Honey Chilli Potatoes, Noodles, Butter Naan, Veg Thali",300
16139,Dhaba Central,No,No,3.3/5,"Biryani, Dal Makhani, Honey Chilli Potatoes, Noodles, Butter Naan, Veg Thali",650
16149,GrannyzHut,No,No,NEW,"Biryani, Dal Makhani, Honey Chilli Potatoes, Noodles, Butter Naan, Veg Thali",350
16153,Chattar Mattar,No,No,3.5/5,"Biryani, Dal Makhani, Honey Chilli Potatoes, Noodles, Butter Naan, Veg Thali",150
16154,Sultan's Biryani,No,No,3.2/5,"Biryani, Dal Makhani, Honey Chilli Potatoes, Noodles, Butter Naan, Veg Thali",700
16155,UK Foods,No,No,NEW,"Biryani, Dal Makhani, Honey Chilli Potatoes, Noodles, Butter Naan, Veg Thali",200
16176,Maggi N Maggi House,No,No,NEW,"Biryani, Dal Makhani, Honey Chilli Potatoes, Noodles, Butter Naan, Veg Thali",300
16178,Amul Ice Cream,Yes,No,NEW,"Biryani, Dal Makhani, Honey Chilli Potatoes, Noodles, Butter Naan, Veg Thali",100
16179,Dosa Time,Yes,No,3.8/5,"Pizza Dosa, Pav Bhaji Dosa, Cheese Masala Dosa",200
16181,Biryani Affair,Yes,No,3.5/5,"Chicken Biryani, Raita, Mutton Biryani",350
16184,Ambur Star Briyani,No,No,2.8/5,"Chicken Biryani, Ambur Biryani, Kothu Paratha, Onion Raita, Fish Fry",500
16188,Sangam Sweets,Yes,No,3.9/5,"Pav Bhaji, Chaat, Paratha, Chole Bhature, Panipuri, Dhokla, Dahi Bhalle",200
16189,SR Biriyani Palace,No,No,3.3/5,"Pav Bhaji, Chaat, Paratha, Chole Bhature, Panipuri, Dhokla, Dahi Bhalle",300
16192,Juicemaker,No,No,3.7/5,"Salads, Chicken Ceaser Salad, Sandwiches, Burrito Bowl, Shawarma, Sandwich",400
16193,Go Italia,Yes,No,NEW,"Salads, Chicken Ceaser Salad, Sandwiches, Burrito Bowl, Shawarma, Sandwich",500
16195,Indiana Burgers,Yes,No,3.3/5,"Salads, Chicken Ceaser Salad, Sandwiches, Burrito Bowl, Shawarma, Sandwich",300
16197,New Punjabi Dhaba,Yes,No,3.9/5,"Panneer Butter Masala, Butter Chicken, Kadhai Paneer, Egg Biryani, Paratha, Noodles, Chilli Paneer",300
16200,Kia's Kitchen,Yes,No,3.5/5,"Panneer Butter Masala, Butter Chicken, Kadhai Paneer, Egg Biryani, Paratha, Noodles, Chilli Paneer",600
16210,Poha On Wheels,Yes,No,3.5/5,"Panneer Butter Masala, Butter Chicken, Kadhai Paneer, Egg Biryani, Paratha, Noodles, Chilli Paneer",100
16212,Bihar Ki Shan,Yes,No,3.8/5,Roti,300
16215,DS Juice CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© & Grill,Yes,No,3.2/5,Roti,200
16216,CakeBox,Yes,No,3.5/5,Roti,400
16218,Juiced Burger,Yes,No,3.5/5,Roti,750
16221,Kachori Kafe,Yes,No,3.1/5,"Kachori, Tea, Badam Milk, Lassi, Chaat, Paratha, Rabri",300
16226,Mughal Treat,Yes,No,4.0/5,"Charcoal Chicken, Biryani, Shawarma, Pulpy Grape Juice, Tandoori Chicken, Lime Soda, Seekh Kebab",600
16227,Thanco's Natural Ice Cream,Yes,No,3.9/5,Waffles,450
16233,Waffle Talesz,Yes,No,3.7/5,Waffles,200
16241,OPUS Club,No,Yes,4.5/5,"Biryani, Cocktails, Nachos, Mocktails, Long Island Iced Tea, Pasta, Paneer Tikka",1900
16258,nu.tree,Yes,No,4.4/5,"Aloo Pyaz Paratha, Kheer, Salad, Salads, Thali, Rajma, Chocolate Banana",400
16261,New Udupi Grand,Yes,No,3.7/5,"Aloo Pyaz Paratha, Kheer, Salad, Salads, Thali, Rajma, Chocolate Banana",250
16264,Pepperwood 2,Yes,No,3.1/5,"Aloo Pyaz Paratha, Kheer, Salad, Salads, Thali, Rajma, Chocolate Banana",300
16265,Mandya Gowdru Donne Biriyani,Yes,No,3.9/5,"Aloo Pyaz Paratha, Kheer, Salad, Salads, Thali, Rajma, Chocolate Banana",350
16267,Dakshin Flavors,Yes,No,3.0/5,"Aloo Pyaz Paratha, Kheer, Salad, Salads, Thali, Rajma, Chocolate Banana",600
16274,Hotel Narmada,Yes,No,NEW,"Aloo Pyaz Paratha, Kheer, Salad, Salads, Thali, Rajma, Chocolate Banana",500
16276,Ice N Fries Cafe,Yes,No,3.8/5,Burgers,200
16282,Zeeshan,Yes,No,2.6/5,"Mutton Biryani, Raita, Firni, Chicken Biryani, Rolls, Chicken Tikka Kebab, Naan",700
16287,Hotel Tanish,Yes,No,3.7/5,"Mutton Biryani, Raita, Firni, Chicken Biryani, Rolls, Chicken Tikka Kebab, Naan",250
16288,Rock View Family Restaurant,Yes,No,3.3/5,"Mutton Biryani, Raita, Firni, Chicken Biryani, Rolls, Chicken Tikka Kebab, Naan",700
16289,OMY Grill,Yes,No,3.8/5,"Mutton Biryani, Raita, Firni, Chicken Biryani, Rolls, Chicken Tikka Kebab, Naan",300
16291,Dinemaster Gogo's,Yes,No,3.4/5,"Mutton Biryani, Raita, Firni, Chicken Biryani, Rolls, Chicken Tikka Kebab, Naan",300
16292,Burger Mania,Yes,No,NEW,"Mutton Biryani, Raita, Firni, Chicken Biryani, Rolls, Chicken Tikka Kebab, Naan",400
16312,Agarwal Food Service,Yes,No,3.5/5,"Mutton Biryani, Raita, Firni, Chicken Biryani, Rolls, Chicken Tikka Kebab, Naan",400
16319,Kwality Cakes N Bakes,Yes,No,3.7/5,"Burgers, Eggless Cake, Red Velvet Cake",350
16321,The Food Therapy,No,No,NEW,"Burgers, Eggless Cake, Red Velvet Cake",1000
16322,Kalpanar Rannaghar,No,No,3.4/5,"Burgers, Eggless Cake, Red Velvet Cake",250
16332,Delhi Home Food,No,No,3.3/5,"Burgers, Eggless Cake, Red Velvet Cake",200
16333,Big Bowl Theory,No,No,3.1/5,"Burgers, Eggless Cake, Red Velvet Cake",400
16338,FoodandSnack.com,No,No,3.3/5,"Burgers, Eggless Cake, Red Velvet Cake",500
16339,Eat N Drink,No,No,3.8/5,"Burgers, Eggless Cake, Red Velvet Cake",250
16341,Hotel Thazooq,No,No,3.3/5,"Burgers, Eggless Cake, Red Velvet Cake",350
16342,Naani'z Biryani,No,No,3.3/5,"Burgers, Eggless Cake, Red Velvet Cake",300
16350,Foodys Adda,No,No,3.2/5,"Burgers, Eggless Cake, Red Velvet Cake",300
16354,Chillax,No,No,3.3/5,"Burgers, Eggless Cake, Red Velvet Cake",300
16355,New Ambur Dum Biryani,No,No,3.2/5,"Burgers, Eggless Cake, Red Velvet Cake",200
16358,Biryani House,No,No,3.2/5,"Burgers, Eggless Cake, Red Velvet Cake",150
16360,Spice Resto,No,No,3.3/5,"Burgers, Eggless Cake, Red Velvet Cake",400
16362,Aaharam,No,No,4.0/5,"Chicken Noodle, Noodles, Paneer Lababdar, Paratha",350
16366,Navi's Kitchen,Yes,No,NEW,"Chicken Noodle, Noodles, Paneer Lababdar, Paratha",250
16373,The Alphaa,Yes,No,3.8/5,"Lime Soda, Hyderabadi Biryani, Fish",550
16377,99 Variety Dose-Biryanis-Starters,Yes,No,NEW,"Lime Soda, Hyderabadi Biryani, Fish",300
16389,Chaat Express,Yes,No,3.5/5,"Lime Soda, Hyderabadi Biryani, Fish",200
16391,TRUE BLEU RESTO CAFE,Yes,No,4.2/5,"Pizza, Bannoffee Pie, Mocktails, Pasta Alfredo, Burgers, Nachos, Veg Burger",400
16392,Meeraa's Beegara Oota,Yes,No,3.8/5,"Mutton Fry, Mutton Keema, Mutton Biryani, Chicken Biryani, Mutton Chops, Ragi Mudde, Mutton Curry",550
16394,Sweet Chariot,Yes,No,3.6/5,"Mutton Fry, Mutton Keema, Mutton Biryani, Chicken Biryani, Mutton Chops, Ragi Mudde, Mutton Curry",500
16395,Northam's Pizza.Pita,Yes,No,4.1/5,"Exotic Garlic Bread, Spicy Falafel, Burgers, Pasta, Pita Pocket, Pita Pizza, Veggie Pizza",450
16396,Helloo Delhi,Yes,Yes,3.9/5,"Paneer Makhani, Vegetable Biryani, Rabri, Dal Makhani, Paneer Lababdar, Murgh Lababdar, Butter Chicken",1000
16400,Poorvika Restro Cafe,Yes,No,3.7/5,Momos,700
16413,Cake Cafe,Yes,No,4.0/5,Blueberry Cake,300
16416,Bindu Garden Bar & Restaurant,Yes,No,3.1/5,Blueberry Cake,550
16417,Just Bake,Yes,No,3.6/5,Blueberry Cake,400
16421,Once Upon A Flame,Yes,No,4.5/5,"Burgers, Pasta, Mocktails, Mashed Potato, Salads, Chicken Steak, Beef Steak",1200
16423,Pizza Hut,Yes,No,3.1/5,"Tomato Basil Soup, Mushroom Soup, Veg Supreme Pizza, Masala Lemonade, Creamy Mushroom Pasta, Garlic Bread Stick",750
16429,Dakshin Sagar,Yes,No,3.1/5,"Tomato Basil Soup, Mushroom Soup, Veg Supreme Pizza, Masala Lemonade, Creamy Mushroom Pasta, Garlic Bread Stick",400
16431,Rashtrakutas,Yes,Yes,4.0/5,"Gulkand Ice Cream, Thali, Corn Paratha, Donne Biryani, Ceylon Paratha, Buttermilk, Mutton Chops",800
16437,Sharaab Factory,Yes,Yes,3.9/5,"Chicken Curry, Beer, Chicken Tikka, Cocktails, Long Island Iced Tea",1500
16443,Paratha Plaza,Yes,No,3.1/5,"Lassi, Jeera Rice, Sattu Paratha",200
16447,Punjabi Home Made Food,Yes,No,3.4/5,"Lassi, Jeera Rice, Sattu Paratha",400
16450,SR Andhra Spicy House,Yes,No,3.8/5,Biryani,800
16454,Chaat Trail By Moti Mahal,Yes,Yes,3.9/5,"Chaat, Chole Bhature, Pav Bhaji, Gulab Jamun, Bhel Puri, Paneer Pakora",300
16460,Beijing Bites,Yes,No,3.9/5,"Dragon Chicken, Salad, Hakka Noodles, Chicken Momo, Chop Suey, Dragon Rolls, Fish Chilli",850
16461,FreshPhulka,Yes,No,3.8/5,"Dragon Chicken, Salad, Hakka Noodles, Chicken Momo, Chop Suey, Dragon Rolls, Fish Chilli",150
16463,Punjabi Nukkad Pure Veg,Yes,No,4.0/5,"Lassi, Dal Makhani, Ajwaini Paratha, Mushroom Masala, Roti, Shahi Tukda, Shahi Paneer",500
16479,New Delicacy,Yes,No,3.7/5,"Momos, Hakka Noodles, Nasi Goreng, Dragon Prawn, American Chopsuey, Garlic Butter Noodle",500
16487,Indian Paratha Factory,Yes,No,2.7/5,"Lassi, Liti Chokha, Chicken Keema Paratha, Buttermilk, Raita, Aloo Paratha, Chocolate Paratha",250
16491,Cane Crussh,Yes,No,3.7/5,"Lassi, Liti Chokha, Chicken Keema Paratha, Buttermilk, Raita, Aloo Paratha, Chocolate Paratha",100
16509,Mealer.in,Yes,No,3.9/5,"Rajma, Dal Makhani, Maggi, Chole, Roti, Chicken Biryani, Egg Curry",450
16510,Punjabi Handi,Yes,No,2.9/5,"Rajma, Dal Makhani, Maggi, Chole, Roti, Chicken Biryani, Egg Curry",400
16513,Feaster,Yes,No,3.8/5,"Liver Fry, Burgers, Pizza",600
16515,Cake Dilim,Yes,No,3.7/5,Chocolate Cake,400
16520,What's Cooking,Yes,No,3.1/5,Rajma Chawal,300
16523,Zaikedar Kitchen,Yes,No,3.2/5,Rajma Chawal,400
16525,Meat and Eat,Yes,No,3.5/5,Rajma Chawal,500
16533,BIB - Breakfast in the Box,Yes,No,3.8/5,"English Breakfast, Burgers, Sandwiches, Chicken Burger, Pasta, Veg Burger, Chicken Sausages",600
16538,HSR Agarval Bhavan,Yes,No,3.2/5,"Chole Bhature, Tea, Kachori",400
16540,Ramji Chaiwale,Yes,No,3.8/5,"Chai, Ginger Tea, Maggi, Aloo Paratha, Samosa, Coffee, Sandwich",250
16542,The French Loaf,Yes,No,3.1/5,"Chai, Ginger Tea, Maggi, Aloo Paratha, Samosa, Coffee, Sandwich",400
16547,The Biryani Palace,Yes,No,3.0/5,"Chai, Ginger Tea, Maggi, Aloo Paratha, Samosa, Coffee, Sandwich",500
16548,Wow Vada Pav,No,No,3.7/5,"Chaat, Burgers, Cheese Maggi, Tea, Chocolate Shake, Lassi, Cheese Vada Pav",150
16550,Shahi Rasoi,Yes,No,3.1/5,"Chaat, Burgers, Cheese Maggi, Tea, Chocolate Shake, Lassi, Cheese Vada Pav",600
16551,Lassi Cafe,Yes,No,3.8/5,"Chaat, Burgers, Cheese Maggi, Tea, Chocolate Shake, Lassi, Cheese Vada Pav",300
16553,Bombay Kulfi,Yes,No,3.5/5,"Chaat, Burgers, Cheese Maggi, Tea, Chocolate Shake, Lassi, Cheese Vada Pav",150
16559,Sip N Bite,No,No,3.3/5,"Chaat, Burgers, Cheese Maggi, Tea, Chocolate Shake, Lassi, Cheese Vada Pav",300
16562,Bengaluru House,Yes,No,2.6/5,"Chaat, Burgers, Cheese Maggi, Tea, Chocolate Shake, Lassi, Cheese Vada Pav",700
16564,Sri Gurudev Darshini,Yes,No,3.5/5,"Chaat, Burgers, Cheese Maggi, Tea, Chocolate Shake, Lassi, Cheese Vada Pav",150
16565,Delite Chaat House,Yes,No,3.4/5,"Chaat, Vada Pav, Fafda, Sandwiches, Kutchi Dabeli, Sev Puri",300
16566,Punjab Di Shaan,Yes,No,3.0/5,"Roti, Thali, Paratha",450
16568,Lassi Pot,No,No,3.3/5,"Roti, Thali, Paratha",100
16569,Cake Menu,Yes,No,3.2/5,"Roti, Thali, Paratha",400
16571,Cream Chemistry,Yes,No,3.9/5,Waffles,500
16574,Wheat House,Yes,No,3.3/5,Waffles,400
16577,Lord of Combos,Yes,No,3.0/5,Waffles,500
16579,Sree Bangalore Bhavan,Yes,No,3.7/5,Waffles,400
16586,The Twenty Handmade Chocolates,Yes,No,3.8/5,Waffles,300
16591,The Salad Studio,Yes,No,4.0/5,"Salads, Sandwiches, Chicken Salad, Chicken Grill",400
16592,Fine Dine Restaurant,Yes,No,3.7/5,"Salads, Sandwiches, Chicken Salad, Chicken Grill",750
16597,Manshi Paratha & Pav Bhaji,Yes,No,3.2/5,"Salads, Sandwiches, Chicken Salad, Chicken Grill",150
16613,Lazeez Corner,Yes,No,3.1/5,"Salads, Sandwiches, Chicken Salad, Chicken Grill",500
16614,Soup Station,Yes,No,3.9/5,"Salads, Sandwiches, Chicken Salad, Chicken Grill",200
16625,The Humble Pie,Yes,No,3.9/5,"Salads, Sandwiches, Chicken Salad, Chicken Grill",200
16627,The Food Factory,No,No,2.7/5,"Salads, Sandwiches, Chicken Salad, Chicken Grill",450
16630,Lazeez,Yes,No,2.4/5,"Rolls, Phirni, Mutton Biryani, Kadhai Murgh, Tandoori Roti, Chicken Roll, Chicken Chaap",600
16632,Kabab Magic,Yes,No,2.9/5,"Chicken Grill, Shawarma Roll, Biryani, Pulpy Grape Juice, Paratha, Chicken Shawarama, Chicken Tikka",500
16633,Swathi Spice n Ice,Yes,No,3.5/5,"Andhra Meal, Cocktails, Chicken Biryani, Panneer Butter Masala, Mutton Biryani",700
16638,Cream Stone,Yes,No,4.2/5,"Nutella Brownie, Fruit Ice Cream, Ferrero Rocher Ice Cream, Chocolava, Hot Chocolate Fudge, Mango Ice Cream, Waffles",500
16648,Pingara,Yes,No,3.8/5,"Sea Food, Beer, Fish Thali, Fish Fry, Chicken Tikka, Neer Dosa",550
16649,Sichuan,Yes,No,4.0/5,"Momos, Fish, Chilli Chicken, Singapore Noodles, Bamboo Rice, Dumplings, Tom Yum Soup",800
16652,Dande's Hyderabad Biryani,Yes,No,3.0/5,"Non Veg Biryani, Fish",550
16654,Families Food Court,Yes,No,3.9/5,Prompt Service,400
16655,Tasty Treat,Yes,No,3.1/5,Paratha,400
16656,Oogway express,Yes,No,3.4/5,Paratha,600
16657,Hotel Tadaka House,No,No,3.4/5,Paratha,300
16660,Samosa Express,Yes,No,3.6/5,Paratha,150
16662,Grow Fit,Yes,No,3.8/5,"Brownie, Biryani",500
16663,Stark Bistro,Yes,Yes,3.6/5,"Brownie, Biryani",850
16682,KafeKombos,Yes,No,3.5/5,"Brownie, Biryani",300
16692,Masale Daan,Yes,No,3.3/5,"Brownie, Biryani",350
16700,Punjabi Chulla,Yes,No,3.3/5,"Brownie, Biryani",300
16708,New Kabab Zone,Yes,No,3.4/5,"Brownie, Biryani",500
16710,Gourmet Food Truck,Yes,No,3.8/5,"Brownie, Biryani",200
16711,Cafe Talkhouse,No,No,3.8/5,"Brownie, Biryani",548
16712,Shree Mahalakshmi Sweets,Yes,No,3.3/5,"Brownie, Biryani",100
16714,Pavan Tiffin Center,Yes,No,3.3/5,"Brownie, Biryani",300
16718,Yo! Thali,Yes,No,3.5/5,"Brownie, Biryani",400
16719,Zodiac Grills,Yes,No,3.2/5,"Brownie, Biryani",500
16721,Aao G Khao G,Yes,No,3.5/5,"Brownie, Biryani",200
16726,Lost in Pizza,Yes,No,3.1/5,"Brownie, Biryani",600
16732,Dilli6 Paratha,Yes,No,3.0/5,"Brownie, Biryani",200
16739,The Shawarma Shop,No,No,NEW,"Brownie, Biryani",250
16743,YUNCHI,Yes,No,NEW,"Brownie, Biryani",300
16745,Artinci Artisanal Ice Cream,Yes,No,3.5/5,"Brownie, Biryani",300
16753,Wimpie Cafe & Restaurant,Yes,No,NEW,"Brownie, Biryani",600
16755,Udupi Savi Thindi,Yes,No,3.5/5,"Brownie, Biryani",300
16756,Matka,Yes,Yes,3.5/5,"Brownie, Biryani",700
16759,Kadavu Shappu Currys,Yes,No,3.3/5,"Brownie, Biryani",400
16761,Thalassery Restaurant,Yes,No,3.5/5,"Shawarma, Appam, Tea, Chai, Thalassery Biryani, Chicken Grill, Vegetable Stew",600
16765,A2B - Adyar Ananda Bhavan,Yes,No,2.8/5,"Masala Dosa, Coffee, Tea, Vada, Idli, Chaat, Pongal",400
16782,The Spice Factory,Yes,No,3.1/5,"Masala Dosa, Coffee, Tea, Vada, Idli, Chaat, Pongal",550
16786,Baithak,No,No,4.2/5,"Wood Fire Pizza, Cocktails, Ferrero Rocher Shake, Falafel, Peri Peri Chicken, Pasta, Nachos",1100
16788,Chaat Street,Yes,No,3.8/5,"Chaat, Raj Kachori, Bhel Puri, Sev Puri, Pav Bhaji, Panipuri, Vada Pav",250
16790,Krispy Kreme,Yes,No,3.9/5,"Donut, Chocolate Doughnut, Chocolate Milkshake, Filter Coffee",300
16796,Wow Kitchen Punjabi Taste,Yes,No,NEW,"Donut, Chocolate Doughnut, Chocolate Milkshake, Filter Coffee",200
16797,Leon Grill,Yes,No,4.3/5,"Burgers, Waffles, Fries, Peri Peri Chicken Wings, Jumbo Royale Burger, Chicken Doner, Salad",450
16799,Maia - Eat | Bake | Mom,Yes,Yes,4.2/5,"Matar Paneer, Pizza, Pasta, Sandwiches, Calzone, Mocktails, Vegetarian",1200
16800,Rusbury Fresh Sweets And Savouries,Yes,No,3.9/5,"Panipuri, Samosa, Pav Bhaji, Rasmalai",200
16802,Bangaliana,Yes,No,3.7/5,"Dhokar Dalna, Chicken Curry, Mutton Curry, Mutton Kosha, Fish Curry, Mocha Chingri, Luchi",600
16803,Balle-Licious Kitchen,Yes,No,3.9/5,"Dal Makhani, Butter Chicken, Reshmi Kebab, Shahi Paneer, Butter Naan, Shahi Tukda, Chilli Chicken",400
16812,My Tea House,Yes,Yes,NEW,"Dal Makhani, Butter Chicken, Reshmi Kebab, Shahi Paneer, Butter Naan, Shahi Tukda, Chilli Chicken",800
16814,Seven Ate Nine,Yes,Yes,NEW,"Dal Makhani, Butter Chicken, Reshmi Kebab, Shahi Paneer, Butter Naan, Shahi Tukda, Chilli Chicken",700
16820,Momos Corner,No,No,3.1/5,"Dal Makhani, Butter Chicken, Reshmi Kebab, Shahi Paneer, Butter Naan, Shahi Tukda, Chilli Chicken",250
16831,The Flying Cup,Yes,No,4.2/5,"Tea, Coffee, Sabudana Khichdi, Samosa, Sandwiches, Onion Pakoda, Khichda",150
16837,Me And My Cake,No,No,3.2/5,"Tea, Coffee, Sabudana Khichdi, Samosa, Sandwiches, Onion Pakoda, Khichda",500
16840,Sumai Foods,No,No,3.2/5,"Tea, Coffee, Sabudana Khichdi, Samosa, Sandwiches, Onion Pakoda, Khichda",350
16841,9 Bowls,Yes,No,NEW,"Tea, Coffee, Sabudana Khichdi, Samosa, Sandwiches, Onion Pakoda, Khichda",500
16843,Night Panda,No,No,3.8/5,"Noodles, Chicken Drumsticks, Maggi, Veg Grilled Sandwich, Brownie",500
16847,Wedding Biryani,No,No,NEW,"Noodles, Chicken Drumsticks, Maggi, Veg Grilled Sandwich, Brownie",600
16848,Hungry Monster,Yes,No,NEW,"Noodles, Chicken Drumsticks, Maggi, Veg Grilled Sandwich, Brownie",300
16851,Cakewala,Yes,No,4.3/5,"Veg Puff, Burgers, Cheesecake, Blueberry Cheese Cake, Brownie, Pineapple Pastry, Chocolate Fantasy",500
16853,Corner House Ice Cream,No,No,4.4/5,"Hot Chocolate Fudge, Cashew Fudge, Vanilla Ice Cream, Thick Shakes, Brownie, Apple Crumble, Ice Cream Sundae",400
16854,Amma's Pastries,No,No,4.1/5,"Hot Chocolate Fudge, Cashew Fudge, Vanilla Ice Cream, Thick Shakes, Brownie, Apple Crumble, Ice Cream Sundae",400
16861,Polar Bear,Yes,No,4.0/5,"Sandwiches, Ice Cream Pizza, Vanilla Ice Cream, Chocolate Fudge, Sandwich, Brownie, Chocolate Cake",400
16868,Shubh Sweets,No,No,3.9/5,"Panipuri, Jalebi Rabri, Momos, Papdi Chaat, Dhokla, Paratha, Aloo Tikki Chat",400
16872,Amrutha Sweets,No,No,4.1/5,"Panipuri, Paratha, Badam Milk, Chaat, Chole Bhature, Raj Kachori, Rasmalai",200
16875,L J Iyengar Bakery,No,No,3.9/5,"Fruit Cake, Chocolate Cake, Egg Puff",100
16887,Just Bake,Yes,No,3.6/5,"Omelette, Mocha Coffee, Chicken Mayo Sandwich, Sandwiches, English Breakfast",400
16890,KC Das - Sweet Corner,No,No,2.9/5,"Omelette, Mocha Coffee, Chicken Mayo Sandwich, Sandwiches, English Breakfast",200
16898,Havmor - Hav Funn,No,No,3.3/5,"Omelette, Mocha Coffee, Chicken Mayo Sandwich, Sandwiches, English Breakfast",300
16903,Sweet Chariot,No,No,3.5/5,"Omelette, Mocha Coffee, Chicken Mayo Sandwich, Sandwiches, English Breakfast",500
16907,Patville,No,No,4.0/5,"Tiramisu, Chocolate Pastry, Coffee, Cup Cake, Macaroon",300
16912,Sweet Truth,Yes,No,4.0/5,"Chocolate Fantasy, Chocolate Cake, Chocolate Decadence, Chocolava, Pancakes",500
16915,Shree Mithai,No,No,3.7/5,"Chaat, Panipuri, Badam Milk, Aloo Tikki Chat",150
16921,Bombay Kulfis,Yes,No,3.4/5,"Chaat, Panipuri, Badam Milk, Aloo Tikki Chat",200
16932,Mist n Creams,No,No,3.9/5,"Chaat, Panipuri, Badam Milk, Aloo Tikki Chat",400
16934,Ice Cream Buggy,No,No,3.1/5,"Chaat, Panipuri, Badam Milk, Aloo Tikki Chat",100
16938,Igloo Shakez & Bytez,No,No,3.1/5,"Chaat, Panipuri, Badam Milk, Aloo Tikki Chat",300
16949,eat.fit,Yes,No,4.5/5,"Buddha Bowl, Chicken Curry, Brownie, Chole, Veg Thali, Idli, Raita",500
16952,Royal Bakes,No,No,NEW,"Buddha Bowl, Chicken Curry, Brownie, Chole, Veg Thali, Idli, Raita",200
